symbol,isSpotTradingAllowed,isMarginTradingAllowed
SANTOSUSDT,True,True
MCUSDT,True,False
BICOUSDT,True,True
FLUXUSDT,True,True
FXSUSDT,True,False
VOXELUSDT,True,False
HIGHUSDT,True,False
CVXUSDT,True,False
PEOPLEUSDT,True,True
OOKIUSDT,True,False
SPELLUSDT,True,True
JOEUSDT,True,False
ACHUSDT,True,True
IMXUSDT,True,True
GLMRUSDT,True,True
LOKAUSDT,True,False
SCRTUSDT,True,False
API3USDT,True,True
BTTCUSDT,True,False
ACAUSDT,True,False
XNOUSDT,True,False
WOOUSDT,True,True
ALPINEUSDT,True,False
TUSDT,True,False
ASTRUSDT,True,True
GMTUSDT,True,True
KDAUSDT,True,True
APEUSDT,True,True
BSWUSDT,True,True
BIFIUSDT,True,False
MULTIUSDT,True,False
STEEMUSDT,True,False
MOBUSDT,True,False
NEXOUSDT,True,True
REIUSDT,True,True
GALUSDT,True,True
LDOUSDT,True,True
EPXUSDT,True,True
OPUSDT,True,True
LEVERUSDT,True,True
STGUSDT,True,True
LUNCUSDT,True,True
GMXUSDT,True,True
NEBLUSDT,True,False
POLYXUSDT,True,True
APTUSDT,True,True
OSMOUSDT,True,True
HFTUSDT,True,False
PHBUSDT,True,False
HOOKUSDT,True,False
MAGICUSDT,True,False
HIFIUSDT,True,False
